Timestamp                       Thread     Type        Activity             PID    TTL  
2025-07-31 14:26:41.529566-0600 0x3c03a8c  Default     0x0                  5495   0    diaryx: (libxpc.dylib) [com.apple.xpc:connection] [0x1369041c0] activating connection: mach=false listener=true peer=false name=(anonymous)
2025-07-31 14:26:41.529582-0600 0x3c03a8c  Default     0x0                  5495   0    diaryx: (libxpc.dylib) [com.apple.xpc:connection] [0x1369041c0] Channel could not return listener port.
2025-07-31 14:26:41.529741-0600 0x3c03aaf  Default     0x0                  5495   0    diaryx: (libxpc.dylib) [com.apple.xpc:connection] [0x136a06950] activating connection: mach=false listener=false peer=true name=com.apple.xpc.anonymous.0x1369041c0.peer[365].0x136a06950
2025-07-31 14:26:41.531546-0600 0x3c03a8c  Default     0x0                  5495   0    diaryx: (HIServices) [com.apple.processmanager:front-35286506] FRONTLOGGING: version 1
2025-07-31 14:26:41.531604-0600 0x3c03a8c  Default     0x0                  5495   0    diaryx: (HIServices) [com.apple.processmanager:front-35286506] Registered, pid=5495 ASN=0x0,0x6d75d6f
2025-07-31 14:26:41.532260-0600 0x3c03aaf  Default     0x0                  5495   0    diaryx: (libxpc.dylib) [com.apple.xpc:connection] [0x114e04080] activating connection: mach=true listener=false peer=false name=com.apple.lsd.mapdb
2025-07-31 14:26:41.532892-0600 0x3c03a8c  Default     0x0                  5495   0    diaryx: (libxpc.dylib) [com.apple.xpc:connection] [0x1369041c0] Channel could not return listener port.
2025-07-31 14:26:41.533715-0600 0x3c03a8c  Default     0x0                  5495   0    diaryx: (HIServices) [com.apple.processmanager:front-35286506] BringForward: pid=5495 asn=0x0-0x6d75d6f bringForward=1 foreground=1 uiElement=0 launchedByLS=1 modifiersCount=1 allDisabled=0
2025-07-31 14:26:41.533784-0600 0x3c03a8c  Default     0x0                  5495   0    diaryx: (HIServices) [com.apple.processmanager:front-35286506] BringFrontModifier: pid=5495 asn=0x0-0x6d75d6f Modifier 0 hideAfter=0 hideOthers=0 dontMakeFrontmost=0 mouseDown=0/0 seed=0/0
2025-07-31 14:26:41.533836-0600 0x3c03a8c  Default     0x0                  5495   0    diaryx: (HIServices) [com.apple.processmanager:front-35286506] BringForward: pid=5495 asn=0x0-0x6d75d6f
2025-07-31 14:26:41.533864-0600 0x3c03a8c  Default     0x0                  5495   0    diaryx: (HIServices) [com.apple.processmanager:front-35286506] SetFrontProcess: asn=0x0-0x6d75d6f options=0
2025-07-31 14:26:41.539957-0600 0x3c03a8c  Default     0x0                  5495   0    diaryx: (AppKit) [com.apple.AppKit:Appearance] Current system appearance, (HLTB: 1), (SLS: 0)
2025-07-31 14:26:41.541019-0600 0x3c03a8c  Default     0x0                  5495   0    diaryx: (libMobileGestalt.dylib) No persisted cache on this platform.
2025-07-31 14:26:41.542639-0600 0x3c03a8c  Default     0x0                  5495   0    diaryx: (AppKit) [com.apple.AppKit:Appearance] Current system appearance, (HLTB: 1), (SLS: 0)
2025-07-31 14:26:41.543363-0600 0x3c03a8c  Default     0x0                  5495   0    diaryx: (AppKit) [com.apple.AppKit:Appearance] Post-registration system appearance: (HLTB: 1)
2025-07-31 14:26:41.566842-0600 0x3c03a8c  Default     0x0                  5495   0    diaryx: (libxpc.dylib) [com.apple.xpc:connection] [0x1369041c0] Channel could not return listener port.
2025-07-31 14:26:41.569136-0600 0x3c03a8c  Default     0x0                  5495   0    diaryx: (libxpc.dylib) [com.apple.xpc:connection] [0x1369041c0] Channel could not return listener port.
2025-07-31 14:26:41.580210-0600 0x3c03a8c  Default     0x0                  5495   0    diaryx: (XCTTargetBootstrap) [com.apple.dt.xctest:Default] Registering for test daemon availability notify post.
2025-07-31 14:26:41.580313-0600 0x3c03a8c  Default     0x0                  5495   0    diaryx: (XCTTargetBootstrap) [com.apple.dt.xctest:Default] notify_get_state check indicated test daemon not ready.
2025-07-31 14:26:41.580390-0600 0x3c03a8c  Default     0x0                  5495   0    diaryx: (XCTTargetBootstrap) [com.apple.dt.xctest:Default] notify_get_state check indicated test daemon not ready.
2025-07-31 14:26:41.580453-0600 0x3c03a8c  Default     0x0                  5495   0    diaryx: (XCTTargetBootstrap) [com.apple.dt.xctest:Default] notify_get_state check indicated test daemon not ready.
2025-07-31 14:26:41.586775-0600 0x3c03a8c  Activity    0x6130e72            5495   0    diaryx: (CoreFoundation) Loading Preferences From System CFPrefsD
2025-07-31 14:26:41.591104-0600 0x3c03a8c  Default     0x0                  5495   0    diaryx: (GenerativeModels) [com.apple.GenerativeModels:availability] registering darwin observer for name: com.apple.gms.availability.notification
2025-07-31 14:26:41.591124-0600 0x3c03a8c  Default     0x0                  5495   0    diaryx: (GenerativeModels) [com.apple.GenerativeModels:availability] registering darwin observer for name: com.apple.os-eligibility-domain.change.greymatter
2025-07-31 14:26:41.591139-0600 0x3c03a8c  Default     0x0                  5495   0    diaryx: (GenerativeModels) [com.apple.GenerativeModels:availability] registering darwin observer for name: com.apple.language.changed
2025-07-31 14:26:41.591157-0600 0x3c03a8c  Default     0x0                  5495   0    diaryx: (WritingToolsUI) [com.apple.WritingTools:Default] isAvailable value changed: featureEnabled = true, isMDMAllowed = true, gmAvailable (current) = true
2025-07-31 14:26:41.591756-0600 0x3c03a8c  Activity    0x6130e73            5495   0    diaryx: (CoreFoundation) Loading Preferences From User CFPrefsD
2025-07-31 14:26:41.591905-0600 0x3c03a8c  Default     0x0                  5495   0    diaryx: (libxpc.dylib) [com.apple.xpc:connection] [0x600003898000] activating connection: mach=false listener=false peer=false name=com.apple.hiservices-xpcservice
2025-07-31 14:26:41.601617-0600 0x3c03a8c  Default     0x0                  5495   0    diaryx: (AppKit) [com.apple.AppKit:Appearance] NSApp cache appearance:
-NSRequiresAquaSystemAppearance: 0
-appearance: (null)
-effectiveAppearance: <NSCompositeAppearance: 0x6000035a4000
 (
    "<NSAquaAppearance: 0x6000035a4090>",
    "<NSSystemAppearance: 0x60000359c000>"
)>
2025-07-31 14:26:41.604375-0600 0x3c03a8c  Activity    0x6130e74            5495   0    diaryx: (CoreFoundation) Loading Preferences From User CFPrefsD
2025-07-31 14:26:41.604572-0600 0x3c03a8c  Activity    0x6130e75            5495   0    diaryx: (CoreFoundation) Loading Preferences From User CFPrefsD
2025-07-31 14:26:41.612304-0600 0x3c03ab0  Activity    0x6130e76            5495   0    diaryx: (libsystem_info.dylib) Membership API: translate identifier
2025-07-31 14:26:41.616351-0600 0x3c03ab0  Default     0x0                  5495   0    diaryx: (libxpc.dylib) [com.apple.xpc:connection] [0x60000389cff0] activating connection: mach=true listener=false peer=false name=com.apple.dock.fullscreen
2025-07-31 14:26:41.617033-0600 0x3c03a8c  Default     0x0                  5495   0    diaryx: (libxpc.dylib) [com.apple.xpc:connection] [0x600003b99500] activating connection: mach=true listener=false peer=false name=com.apple.fonts
2025-07-31 14:26:41.620806-0600 0x3c03a8c  Default     0x0                  5495   0    diaryx: (libxpc.dylib) [com.apple.xpc:connection] [0x106415660] activating connection: mach=true listener=false peer=false name=com.apple.appkit.restoration_storage
2025-07-31 14:26:41.621123-0600 0x3c03a8c  Default     0x0                  5495   0    diaryx: (libxpc.dylib) [com.apple.xpc:connection] [0x600003890000] activating connection: mach=true listener=false peer=false name=com.apple.coreservices.appleevents
2025-07-31 14:26:41.621686-0600 0x3c03a8c  Default     0x0                  5495   0    diaryx: (libxpc.dylib) [com.apple.xpc:connection] [0x1369041c0] Channel could not return listener port.
2025-07-31 14:26:41.621924-0600 0x3c03a8c  Default     0x0                  5495   0    diaryx: (HIServices) [com.apple.processmanager:front-35286506] SignalReady: pid=5495 asn=0x0-0x6d75d6f
2025-07-31 14:26:41.622210-0600 0x3c03a8c  Default     0x0                  5495   0    diaryx: (LaunchServices) [com.apple.processmanager:front-35286506] SIGNAL: pid=5495 asn=0x0x-0x6d75d6f
2025-07-31 14:26:41.624081-0600 0x3c03a8c  Activity    0x6130e77            5495   0    diaryx: (CoreFoundation) Loading Preferences From System CFPrefsD
2025-07-31 14:26:41.636658-0600 0x3c03a8c  Default     0x0                  5495   0    diaryx: (AppKit) [com.apple.AppKit:AutomaticTermination] void _NSDisableAutomaticTerminationAndLog(NSString *) Restoring windows
2025-07-31 14:26:41.636806-0600 0x3c03a8c  Default     0x0                  5495   0    diaryx: (AppKit) [com.apple.AppKit:StateRestoration] -[NSApplication _reopenWindowsAsNecessaryIncludingRestorableState:withFullFidelity:completionHandler:] shouldRestoreState=1 hasPersistentStateToRestore=0 shouldStillRestoreStateAfterPrompting=0
2025-07-31 14:26:41.636950-0600 0x3c03a8c  Default     0x0                  5495   0    diaryx: (libxpc.dylib) [com.apple.xpc:connection] [0x60000389ce10] activating connection: mach=true listener=false peer=false name=com.apple.window_proxies
2025-07-31 14:26:41.637045-0600 0x3c03a8c  Default     0x0                  5495   0    diaryx: (libxpc.dylib) [com.apple.xpc:connection] [0x60000389ce10] invalidated because the current process cancelled the connection by calling xpc_connection_cancel()
2025-07-31 14:26:41.638163-0600 0x3c03a8c  Default     0x0                  5495   0    diaryx: (AppKit) [com.apple.AppKit:AutomaticTermination] void _NSEnableAutomaticTerminationAndLog(NSString *) Restoring windows
2025-07-31 14:26:41.644983-0600 0x3c03a8c  Default     0x0                  5495   0    diaryx: (libxpc.dylib) [com.apple.xpc:connection] [0x114e17590] activating connection: mach=true listener=false peer=false name=com.apple.windowmanager.server
2025-07-31 14:26:41.649770-0600 0x3c03a8c  Default     0x0                  5495   0    diaryx: (AppKit) [com.apple.AppKit:Window] order window front conditionally: 2495e related: 0
2025-07-31 14:26:41.649794-0600 0x3c03a8c  Default     0x0                  5495   0    diaryx: (AppKit) [com.apple.AppKit:AutomaticTermination] void _NSEnableAutomaticTerminationAndLog(NSString *) No windows open yet
2025-07-31 14:26:41.650428-0600 0x3c03ab0  Default     0x0                  5495   0    diaryx: (UIIntelligenceSupport) [com.apple.UIIntelligenceSupport:xpc] establishing connection to agent
2025-07-31 14:26:41.650859-0600 0x3c03ab0  Default     0x0                  5495   0    diaryx: (libxpc.dylib) [com.apple.xpc:session] [0x6000024a51d0] Session created.
2025-07-31 14:26:41.650867-0600 0x3c03ab0  Default     0x0                  5495   0    diaryx: (libxpc.dylib) [com.apple.xpc:session] [0x6000024a51d0] Session created from connection [0x6000038a0000]
2025-07-31 14:26:41.650884-0600 0x3c03ab0  Default     0x0                  5495   0    diaryx: (libxpc.dylib) [com.apple.xpc:connection] [0x6000038a0000] activating connection: mach=true listener=false peer=false name=com.apple.uiintelligencesupport.agent
2025-07-31 14:26:41.650939-0600 0x3c03ab0  Default     0x0                  5495   0    diaryx: (libxpc.dylib) [com.apple.xpc:session] [0x6000024a51d0] Session activated
2025-07-31 14:26:41.670382-0600 0x3c03a8c  Default     0x0                  5495   2    diaryx: (LaunchServices) [com.apple.launchservices:default] _LSBundleCopyOrCheckNode: cached node not found, _LSBundleCreateNode for bundleID 5664 returned -43
2025-07-31 14:26:41.676372-0600 0x3c03a8c  Default     0x0                  5495   0    diaryx: (WebCore) 0x10640ff98 - ResourceMonitorThrottler::Initialized with count: 5, duration: 86400, maxHosts: 100
2025-07-31 14:26:41.676749-0600 0x3c03a8c  Default     0x0                  5495   0    diaryx: (WebKit) 0x10640fdb8 - WebsiteDataStore::WebsiteDataStore sessionID=1
2025-07-31 14:26:41.683240-0600 0x3c03a8c  Activity    0x6130e79            5495   0    diaryx: (TCC) TCCAccessRequest() IPC
2025-07-31 14:26:41.683259-0600 0x3c03a8c  Default     0x6130e79            5495   0    diaryx: (libxpc.dylib) [com.apple.xpc:connection] [0x60000389ce10] activating connection: mach=true listener=false peer=false name=com.apple.tccd
2025-07-31 14:26:41.693931-0600 0x3c03a8c  Default     0x6130e79            5495   0    diaryx: (libxpc.dylib) [com.apple.xpc:connection] [0x60000389ce10] invalidated after the last release of the connection object
2025-07-31 14:26:41.694265-0600 0x3c03a8c  Activity    0x6130e7a            5495   0    diaryx: (TCC) TCCAccessRequest() IPC
2025-07-31 14:26:41.694279-0600 0x3c03a8c  Default     0x6130e7a            5495   0    diaryx: (libxpc.dylib) [com.apple.xpc:connection] [0x6000038a00f0] activating connection: mach=true listener=false peer=false name=com.apple.tccd
2025-07-31 14:26:41.699008-0600 0x3c03a8c  Default     0x6130e7a            5495   0    diaryx: (libxpc.dylib) [com.apple.xpc:connection] [0x6000038a00f0] invalidated after the last release of the connection object
2025-07-31 14:26:41.721048-0600 0x3c03a8c  Default     0x0                  5495   0    diaryx: (WebKit) 0x122000a00 - [PID=0] WebProcessCache::updateCapacity: Cache is disabled because process swap on navigation is disabled
2025-07-31 14:26:41.729240-0600 0x3c03a8c  Activity    0x6130e7b            5495   0    diaryx: (CoreFoundation) Updating Key-Value Observers Of Preferences
2025-07-31 14:26:41.736559-0600 0x3c03ad5  Default     0x0                  5495   0    diaryx: (libxpc.dylib) [com.apple.xpc:connection] [0x60000389ce10] activating connection: mach=true listener=false peer=false name=com.apple.webprivacyd
2025-07-31 14:26:41.737629-0600 0x3c03a8c  Default     0x0                  5495   0    diaryx: (WebKit) [com.apple.WebKit:Process] 0x114e15f98 - PageConfiguration::delaysWebProcessLaunchUntilFirstLoad() -> true because of associated processPool value
2025-07-31 14:26:41.737640-0600 0x3c03a8c  Default     0x0                  5495   0    diaryx: (WebKit) [com.apple.WebKit:Process] 0x117066a08 - WebProcessPool::createWebPage: delaying WebProcess launch until first load
2025-07-31 14:26:41.738462-0600 0x3c03a8c  Default     0x0                  5495   0    diaryx: (WebKit) [com.apple.WebKit:Process] 0x122001400 - [PID=0] WebProcessProxy::constructor:
2025-07-31 14:26:41.741061-0600 0x3c03a8c  Default     0x0                  5495   0    diaryx: (WebKit) [com.apple.WebKit:Loading] 0x11503ec18 - [pageProxyID=9, webPageID=10, PID=0] WebPageProxy::constructor:
2025-07-31 14:26:41.744901-0600 0x3c03a8c  Default     0x0                  5495   0    diaryx: (WebKit) [com.apple.WebKit:Process] 0x122001400 - [PID=0] WebProcessProxy::addExistingWebPage: webPage=0x11503ec18, pageProxyID=9, webPageID=10
2025-07-31 14:26:41.746709-0600 0x3c03a8c  Default     0x0                  5495   0    diaryx: (WebKit) [com.apple.WebKit:ProcessSwapping] 0x122000a00 - [PID=0] WebProcessCache::updateCapacity: Cache is disabled by client
2025-07-31 14:26:41.747598-0600 0x3c03a8c  Default     0x0                  5495   0    diaryx: (libxpc.dylib) [com.apple.xpc:connection] [0x60000389d3b0] activating connection: mach=false listener=false peer=false name=com.apple.WebKit.GPU
2025-07-31 14:26:41.748590-0600 0x3c03a8c  Default     0x0                  5495   0    diaryx: (WebKit) [com.apple.WebKit:ProcessSuspension] 0x1220022c0 - [PID=0, throttler=0x122002190] ProcessThrottler::Activity::Activity: Starting foreground activity / 'Process initialization'
2025-07-31 14:26:41.749410-0600 0x3c03a8c  Activity    0x6130e7c            5495   0    diaryx: (CoreFoundation) Loading Preferences From User CFPrefsD
2025-07-31 14:26:41.760117-0600 0x3c03a8c  Default     0x0                  5495   0    diaryx: (libxpc.dylib) [com.apple.xpc:connection] [0x6000038984b0] activating connection: mach=true listener=false peer=false name=com.apple.cvmsServ
2025-07-31 14:26:41.769547-0600 0x3c03a8c  Default     0x0                  5495   0    diaryx: (MediaToolbox) [com.apple.coremedia:] <<<< Alt >>>> fpSupport_GetVideoRangeForCoreDisplayWithPreference: displayID 1 reported potentialHeadRoom=16 wideColorSupported=YES marz=NO almd=NO deviceAllowsHDR=YES isBuiltinPanel=YES externalPanel=YES prefersHDR10=NO
2025-07-31 14:26:41.771681-0600 0x3c03a8c  Default     0x0                  5495   0    diaryx: (MediaToolbox) [com.apple.coremedia:] <<<< Alt >>>> fpSupport_GetVideoRangeForCoreDisplayWithPreference: displayID 1 reported potentialHeadRoom=16 wideColorSupported=YES marz=NO almd=NO deviceAllowsHDR=YES isBuiltinPanel=YES externalPanel=YES prefersHDR10=NO
2025-07-31 14:26:41.775047-0600 0x3c03a8c  Default     0x0                  5495   0    diaryx: (WebKit) [com.apple.WebKit:Loading] 0x11503ec18 - [pageProxyID=9, webPageID=10, PID=0] WebPageProxy::loadRequest:
2025-07-31 14:26:41.775069-0600 0x3c03a8c  Default     0x0                  5495   0    diaryx: (WebKit) [com.apple.WebKit:Loading] 0x11503ec18 - [pageProxyID=9, webPageID=10, PID=0] WebPageProxy::launchProcess:
2025-07-31 14:26:41.775077-0600 0x3c03a8c  Default     0x0                  5495   0    diaryx: (WebKit) [com.apple.WebKit:Process] 0x122001400 - [PID=0] WebProcessProxy::removeWebPage: webPage=0x11503ec18, pageProxyID=9, webPageID=10
2025-07-31 14:26:41.775303-0600 0x3c03a8c  Default     0x0                  5495   0    diaryx: (WebKit) [com.apple.WebKit:Process] 0x122003400 - [PID=0] WebProcessProxy::constructor:
2025-07-31 14:26:41.775441-0600 0x3c03a8c  Default     0x0                  5495   0    diaryx: (libxpc.dylib) [com.apple.xpc:connection] [0x600003898870] activating connection: mach=false listener=false peer=false name=com.apple.WebKit.WebContent
2025-07-31 14:26:41.776326-0600 0x3c03a8c  Default     0x0                  5495   0    diaryx: (ExtensionFoundation) [com.apple.extensionkit:NSExtension] Class EXGetExtensionClass(void) returning EXConcreteExtension
2025-07-31 14:26:41.776526-0600 0x3c03a8c  Default     0x0                  5495   0    diaryx: (libxpc.dylib) [com.apple.xpc:connection] [0x6000038a00f0] activating connection: mach=true listener=false peer=false name=com.apple.pluginkit.pkd
2025-07-31 14:26:41.776589-0600 0x3c03a8c  Activity    0x6130e7d            5495   0    diaryx: (PlugInKit) continuous-discovery
2025-07-31 14:26:41.776619-0600 0x3c03a8c  Default     0x6130e7d            5495   0    diaryx: (PlugInKit) [com.apple.PlugInKit:discovery] <PKDiscoveryDriver:0x600002396220> created discovery driver
2025-07-31 14:26:41.776645-0600 0x3c03a8c  Default     0x6130e7d            5495   0    diaryx: (PlugInKit) [com.apple.PlugInKit:discovery] [d <private>] <PKHost:0x6000012c8580> Beginning discovery for flags: 0, point: com.apple.services
2025-07-31 14:26:41.776701-0600 0x3c03a8c  Activity    0x6130e7e            5495   0    diaryx: (PlugInKit) continuous-discovery
2025-07-31 14:26:41.776709-0600 0x3c03a8c  Default     0x6130e7e            5495   0    diaryx: (PlugInKit) [com.apple.PlugInKit:discovery] <PKDiscoveryDriver:0x600002396280> created discovery driver
2025-07-31 14:26:41.776720-0600 0x3c03a8c  Default     0x6130e7e            5495   0    diaryx: (PlugInKit) [com.apple.PlugInKit:discovery] [d <private>] <PKHost:0x6000012c8580> Beginning discovery for flags: 0, point: com.apple.ui-services
2025-07-31 14:26:41.777699-0600 0x3c03a8c  Default     0x0                  5495   0    diaryx: (MediaToolbox) [com.apple.coremedia:] <<<< Alt >>>> fpSupport_GetVideoRangeForCoreDisplayWithPreference: displayID 1 reported potentialHeadRoom=16 wideColorSupported=YES marz=NO almd=NO deviceAllowsHDR=YES isBuiltinPanel=YES externalPanel=YES prefersHDR10=NO
2025-07-31 14:26:41.796282-0600 0x3c03aaf  Default     0x6130e7d            5495   0    diaryx: (PlugInKit) [com.apple.PlugInKit:discovery] [d <private>] <PKHost:0x6000012c8580> Completed discovery. Final # of matches: 0
2025-07-31 14:26:41.796308-0600 0x3c03ab0  Default     0x6130e7d            5495   0    diaryx: (PlugInKit) [com.apple.PlugInKit:discovery] <PKDiscoveryDriver:0x600002396220> delivering update to host (0 plugins)
2025-07-31 14:26:41.796413-0600 0x3c03ab0  Activity    0x6130e7f            5495   0    diaryx: (ExtensionFoundation) discovering extensions
2025-07-31 14:26:41.796463-0600 0x3c03ab0  Default     0x6130e7f            5495   0    diaryx: (ExtensionFoundation) [com.apple.extensionkit:NSExtension] discovered extensions: attributes <private>, extensionSet {(
)}
2025-07-31 14:26:41.796490-0600 0x3c03ab0  Default     0x6130e7d            5495   0    diaryx: (PlugInKit) [com.apple.PlugInKit:discovery] <PKDiscoveryDriver:0x600002396220> installing watchers for continuous discovery
2025-07-31 14:26:41.796542-0600 0x3c03ab0  Default     0x6130e7d            5495   2    diaryx: (LaunchServices) [com.apple.launchservices:appinstallation] registering for distributed notification com.apple.LaunchServices.pluginsregistered in this process
2025-07-31 14:26:41.796586-0600 0x3c03ab0  Default     0x6130e7d            5495   2    diaryx: (LaunchServices) [com.apple.launchservices:appinstallation] registering for distributed notification com.apple.LaunchServices.pluginsunregistered in this process
2025-07-31 14:26:41.796615-0600 0x3c03aaf  Default     0x6130e7e            5495   0    diaryx: (PlugInKit) [com.apple.PlugInKit:discovery] [d <private>] <PKHost:0x6000012c8580> Completed discovery. Final # of matches: 2
2025-07-31 14:26:41.796699-0600 0x3c03ac7  Default     0x6130e7e            5495   0    diaryx: (PlugInKit) [com.apple.PlugInKit:discovery] <PKDiscoveryDriver:0x600002396280> delivering update to host (2 plugins)
2025-07-31 14:26:41.796749-0600 0x3c03ac7  Activity    0x6130f30            5495   0    diaryx: (ExtensionFoundation) discovering extensions
2025-07-31 14:26:41.798322-0600 0x3c03a8c  Default     0x0                  5495   0    diaryx: (WebKit) [com.apple.WebKit:ProcessSuspension] 0x1220033d0 - [PID=0, throttler=0x122003490] ProcessThrottler::Activity::Activity: Starting foreground activity / 'Process initialization'
2025-07-31 14:26:41.798979-0600 0x3c03af1  Default     0x0                  5495   0    diaryx: (libxpc.dylib) [com.apple.xpc:connection] [0x60000389d4a0] activating connection: mach=false listener=false peer=false name=com.apple.accessibility.mediaaccessibilityd
2025-07-31 14:26:41.799506-0600 0x3c03a8c  Default     0x0                  5495   0    diaryx: (WebKit) [com.apple.WebKit:Process] 0x122001400 - [PID=0] WebProcessProxy::destructor:
2025-07-31 14:26:41.799617-0600 0x3c03a8c  Default     0x0                  5495   0    diaryx: (WebKit) [com.apple.WebKit:ProcessSuspension] 0x122001490 - [PID=0] ProcessThrottler::didDisconnectFromProcess:
2025-07-31 14:26:41.799667-0600 0x3c03a8c  Default     0x0                  5495   0    diaryx: (WebKit) [com.apple.WebKit:ProcessSuspension] 0x122001490 - [PID=0] ProcessThrottler::invalidateAllActivities: BEGIN (foregroundActivityCount: 0, backgroundActivityCount: 0)
2025-07-31 14:26:41.799699-0600 0x3c03a8c  Default     0x0                  5495   0    diaryx: (WebKit) [com.apple.WebKit:ProcessSuspension] 0x122001490 - [PID=0] ProcessThrottler::invalidateAllActivities: END
2025-07-31 14:26:41.799734-0600 0x3c03a8c  Default     0x0                  5495   0    diaryx: (WebKit) [com.apple.WebKit:Process] 0x122003400 - [PID=0] WebProcessProxy::addExistingWebPage: webPage=0x11503ec18, pageProxyID=9, webPageID=10
2025-07-31 14:26:41.800071-0600 0x3c03a8c  Default     0x0                  5495   0    diaryx: (WebKit) [com.apple.WebKit:Media] PlaybackSessionManagerProxy::PlaybackSessionManagerProxy(C39945AA)
2025-07-31 14:26:41.800103-0600 0x3c03a8c  Default     0x0                  5495   0    diaryx: (WebKit) [com.apple.WebKit:Fullscreen] PlaybackSessionManagerProxy::VideoPresentationManagerProxy(C39945AA)
2025-07-31 14:26:41.800543-0600 0x3c03ac7  Default     0x6130f30            5495   0    diaryx: (ExtensionFoundation) [com.apple.extensionkit:NSExtension] discovered extensions: attributes <private>, extensionSet {(
    <EXConcreteExtension: 0x600003299980> {id = com.apple.MarkupUI.Markup},
    <EXConcreteExtension: 0x60000329c3c0> {id = com.apple.sharing.ShareSheetUI}
)}
2025-07-31 14:26:41.800697-0600 0x3c03af3  Default     0x6130e7e            5495   0    diaryx: (PlugInKit) [com.apple.PlugInKit:discovery] <PKDiscoveryDriver:0x600002396280> installing watchers for continuous discovery
2025-07-31 14:26:41.801847-0600 0x3c03ab0  Default     0x0                  5495   0    diaryx: (libxpc.dylib) [com.apple.xpc:connection] [0x114e1a370] activating connection: mach=true listener=false peer=false name=com.apple.audio.AudioComponentRegistrar
2025-07-31 14:26:41.804998-0600 0x3c03a8c  Default     0x0                  5495   0    diaryx: (WebKit) [com.apple.WebKit:Process] 0x11503ec18 - [pageProxyID=9, webPageID=10, PID=0] WebPageProxy::WebPageProxy::shouldForceForegroundPriorityForClientNavigation() returns 1 based on PageClient::canTakeForegroundAssertions()
2025-07-31 14:26:41.805058-0600 0x3c03a8c  Default     0x0                  5495   0    diaryx: (WebKit) [com.apple.WebKit:ProcessSuspension] 0x122004ed0 - [PID=0, throttler=0x122003490] ProcessThrottler::Activity::Activity: Starting foreground activity / 'Client navigation'
2025-07-31 14:26:41.805072-0600 0x3c03a8c  Default     0x0                  5495   0    diaryx: (WebKit) [com.apple.WebKit:Loading] 0x11503ec18 - [pageProxyID=9, webPageID=10, PID=0] WebPageProxy::loadRequestWithNavigationShared:
